"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"16","47.5762727777778","-122.420550555556","122.420550555556","46.7196258963359","46.6946758898901","12.1020843975517","0.51253686401036","0.51253686401036","13","16915","","Alki Point Light","FD","47-34-34.582N","122-25-13.982W","Fl W 5s","Night","39","16","","White octagonal tower with a gray cupola and red roof, attached to square white building.::45","",""
"14","47.3059102777778","-122.444263888889","122.444263888889","46.6939468187123","46.6677736090886","11.8361679357367","0.389914462717395","0.389914462717395","13","17090","","Browns Point Light","FD","47-18-21.277N","122-26-39.350W","Fl W 5s","Night","38","14","","White concrete tower.::35","Light obscured from 217?? to 002??.",""
"12","47.4506786111111","-122.382578611111","122.382578611111","46.6593287648001","46.6338513823858","11.9730655319799","0.484420279734083","0.484420279734083","13","16980","","Three Tree Point Light","FD","47-27-02.443N","122-22-57.283W","Fl W 2s","Night","28","12","","On basket on steel pile.::17","HORN: 1 blast ev 15s (2s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 83A (157.175MHz). HORN will operate for 30 minutes.",""
"10","47.5988483333333","-122.387906666667","122.387906666667","46.6917040835275","46.6668821452365","12.1209334397037","0.552208193555545","0.552208193555545","13","16910","","Duwamish Head Light","FD","47-35-55.854N","122-23-16.464W","Fl W 2.5s","Night","25","10","","NB on skeleton tower, on multi-pile structure.::25","Obscured from 324?? to 045??.",""
"9","47.3881327777778","-122.374390277778","122.374390277778","46.639955259466","46.6142059140851","11.9099993446548","0.472868654885517","0.472868654885517","13","17070","","Robinson Point Light","FD","47-23-17.278N","122-22-27.805W","Fl (2)W 12s","Night","40","9","","On pedestal outside of cupola. White octagonal tower with red roof, attached to white square building.","HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.",""
"7","47.1405194444444","-122.907269444444","122.907269444444","47.1206599325513","47.0933819382431","11.7353371589347","0.150778367782198","0.150778367782198","13","17400","","Dofflemyer Point Light","FD","47-08-25.870N","122-54-26.170W","Fl W 4s","Night","30","7","","On white concrete tower.","",""
"7","47.2616666666667","-122.436466666667","122.436466666667","46.6784010079566","46.6520370828747","11.7913190731489","0.396317462692327","0.396317462692327","13","17125","","Thea Foss Waterway Light","FD","47-15-42.000N","122-26-11.280W","Fl W 6s","Night","23","7","","On multi-pile structure.","",""
"7","47.513685","-122.47316","122.47316","46.7598693400285","46.7345967807206","12.0458923972218","0.433442901200372","0.433442901200372","13","17100","","Point Vashon Light","FD","47-30-49.266N","122-28-23.376W","Fl W 4s","Night","17","7","","NB on multi-pile structure.","",""
"6","47.1783577777778","-122.814321944444","122.814321944444","47.0357046372345","47.0086672642113","11.7585836440317","0.0949746247382136","0.0949746247382136","13","17370","","Johnson Point Light 5 ","FD","47-10-42.088N","122-48-51.559W","Fl G 6s","Night","22","6","","SG on multi-pile.","",""
"6","47.0920566666667","-122.920083611111","122.920083611111","47.1249098029763","47.0974078235763","11.6894914432124","0.199646624655318","0.199646624655318","13","17405","","Olympia Shoal Light","FD","47-05-31.404N","122-55-12.301W","Q W","Night","25","6","","NB on multi-pile structure.","",""
