drange,dlat,dlon,signed dlon,D_to_Earl_Ross_Home,D_to_Ross_Cabin,minDist,District,LLNR,XREF,Aid_x0020_Name,Aid_x0020_Type,Position_x0020__x0028_Latitude_x0029_,Position_x0020__x0028_Longitude_x0029_,Characteristic,Both_x002F_Night_x002F_Day,Height,Range,Location,Structure,Remarks,RACN_x0020_Morse_x0020_Char
26,42.83702444,124.5636519,-124.5636519,8.08062694,4.760388871,4.760388871,13,595,,Cape Blanco Light,FD,42-50-13.288N,124-33-49.147W,Fl W 20s,Both,245,26,,"White conical tower, with red roof and ball topmark.::59",Lighted througout 24 hours.,
25,36.30625028,121.9015464,-121.9015464,1.122541727,11.00475637,1.122541727,11,280,,Point Sur Light,FD,36-18-22.501N,121-54-05.567W,Fl W 15s,Both,250,25,,Light House::48,Emergency light of reduced intensity when main light is extinguished.,
24,33.74196111,118.4106286,-118.4106286,3.217512388,14.23390356,3.217512388,11,170,,Point Vicente Light,FD,33-44-31.060N,118-24-38.263W,Fl (2)W 20s,Night,185,24,,White cylindrical tower.::67,Emergency light of reduced intensity when main light is extenguished.,
22,39.34858139,123.8260478,-123.8260478,4.692055545,7.984996536,4.692055545,11,450,,Point Cabrillo Light,FD,39-20-54.893N,123-49-33.772W,Fl W 10s,Night,81,22,,Light House::47,Emergency light of reduced intensity when main light is extinguished.,
20,46.8882175,124.1169128,-124.1169128,11.74032296,1.340239755,1.340239755,13,720,15530,Grays Harbor Light,FD,46-53-17.583N,124-07-00.886W,Al WR 30s,Night,123,20,,"White truncated octagonal pyramid tower, with green cupola and red roof, with ball topmark.::33",Lighted throughout 24 hours.,
20,37.82622556,122.4221264,-122.4221264,2.646720311,9.454237043,2.646720311,11,4315,,Alcatraz Light,FD,37-49-34.412N,122-25-19.655W,Fl W 5s,Night,214,20,,Gray octagonal tower.::84,Emergency light of lower intensity when main light is extinguished.,
19,48.29802778,123.5314167,-123.5314167,12.98350222,1.241743281,1.241743281,13,16225,,Race Rocks Light,FD,48-17-52.900N,123-31-53.100W,Fl W 10s,Night,118,19,(C),Cylindrical tower with white and black horizontal bands.,HORN: 3 blast ev 60s (2s bl-3s si-2s bl-3s si-2s bl-48s si). Horn points 155??.,
19,46.29890667,124.0779811,-124.0779811,11.16167043,1.58014161,1.58014161,13,700,,North Head Light,FD,46-17-56.064N,124-04-40.732W,Fl (2)W 30s,Night,194,19,,White conical tower with black roof and ball topmark.,Light is obscured eastward of 181??.   Lighted throughout 24 hours.,
19,48.61177778,124.7513333,-124.7513333,13.570453,2.340411806,2.340411806,13,770,16140,Carmanah Point Light,FD,48-36-42.400N,124-45-04.800W,Fl W 5s,Night,182,19,(C),White octagonal tower with red top.,,
19,44.67675222,124.0794425,-124.0794425,9.609823027,2.87878684,2.87878684,13,650,,Yaquina Head Light,FD,44-40-36.308N,124-04-45.993W,Fl (2)W 20s,Night,162,19,,"White conical tower, with black cupola and red roof with ball topmark.::93",Lighted throughout 24 hours.,
18,48.14415806,122.7547769,-122.7547769,12.70651208,0.876081886,0.876081886,13,16475,,Point Wilson Light,FD,48-08-38.969N,122-45-17.197W,Al RW 5s,Night,51,18,,"White octagonal tower with a black roof, on top of a white building with a red roof.::49",,
18,48.18174556,123.1102603,-123.1102603,12.7955512,0.951591514,0.951591514,13,16335,,New Dungeness Light,FD,48-10-54.284N,123-06-36.937W,Fl W 5s,Night,67,18,,White conical tower on dwelling.::67,,
18,48.14001,123.4024217,-123.4024217,12.80427893,1.038681218,1.038681218,13,16280,,Ediz Hook Light,FD,48-08-24.036N,123-24-08.718W,Fl G (2)W 10s,Night,50,18,,On skeleton tower.::50,HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.,
18,37.81558889,122.5295183,-122.5295183,2.694111321,9.460813995,2.694111321,11,370,4220,Point Bonita Light,FD,37-48-56.120N,122-31-46.266W,Oc W 4s,Night,124,18,,White tower on building.::33,Emergency light of reduced intensity when main light is extinguished.::HORN: 2 blasts ev 30s (2s bl-2s si-2s bl-24s si). The sound signal can be activated by keying VHF-FM Ch. 81A 5 times within 10 seconds.::AIS MMSI: 993692000,
17,47.66196694,122.4357025,-122.4357025,12.18893433,0.556781237,0.556781237,13,16800,,West Point Light,FD,47-39-43.081N,122-26-08.529W,Al WR 10s,Night,27,17,,"White octagonal cupola with red roof, on top of white square building.::30",HORN: 1 bl ev 10s (1s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.0575 MHz). HORN will operate for 30 minutes.,
