#TYPE System.Xml.XmlElement
"drange","dlat","dlon","D_to_Driftmier","D_to_Adrift_F35","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"16","38.8989722222222","76.4358888888889","0.0998588255002233","0.179160853577798","0.0998588255002233","5","7760","","Thomas Point Shoal Light","FD","38-53-56.300N","076-26-09.200W","Fl W 5s","Night","43","16","","White hexagonal tower on piles.::43","Red from 011?? to 051.5?? and 096.5?? to 202??.::HORN: 1 blast ev 15s (2s bl).::Structure maintained by entity outside::of U.S. Coast Guard",""
"9","39.0158994444444","76.38458","0.121431641593019","0.301567687957403","0.121431641593019","5","7990","","Sandy Point Shoal Light","FD","39-00-57.238N","076-23-04.488W","Fl W 6s","Night","51","9","","Red brick dwelling, white roof on brown cylindrical foundation.","Structure Maintained by entity outside of U.S. Coast Guard.",""
"9","38.83375","76.3916666666667","0.178471962851617","0.182018023386255","0.178471962851617","5","7750","","Bloody Point Bar Light","FD","38-50-01.500N","076-23-30.000W","Fl W 6s","Night","54","9","","Brown tower on cylindrical foundation.::53","Red from 003?? to 022?? and 183?? to 202??.::Structure maintained by entity outside::of U.S. Coast Guard",""
"6","38.9735030555556","76.4692019444445","0.0302175463193414","0.221507219019565","0.0302175463193414","5","19745","","Horn Point Light HP","FD","38-58-24.611N","076-28-09.127W","Fl W 6s","Night","15","6","","NG on pile.","",""
"5","38.8656641666667","76.4908386111111","0.110768018542063","0.117632814457911","0.110768018542063","5","19470","","West River Entrance Light 2","FD","38-51-56.391N","076-29-27.019W","Fl R 2.5s","Night","15","5","","TR on pile.","",""
"5","38.9718066666667","76.3885961111111","0.110794414963085","0.264656575589132","0.110794414963085","5","7825","","Chesapeake Channel Lighted Buoy 90","FD","38-58-18.504N","076-23-18.946W","Fl R 2.5s","Night","","5","","Red.","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.9830841666667","76.3879297222222","0.111595541606953","0.273658301185366","0.111595541606953","5","7830","","Chesapeake Channel Lighted Buoy 91","FD","38-58-59.103N","076-23-16.547W","Fl G 4s","Night","","5","","Green","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.9821675","76.3845963888889","0.114870543838417","0.275107624532976","0.114870543838417","5","7835","","Chesapeake Channel Lighted Bell Buoy  92","FD","38-58-55.803N","076-23-04.547W","Fl R 4s","Night","","5","","Red.","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.9328130555556","76.3924377777778","0.115306040053542","0.233939549524477","0.115306040053542","5","7765","","Chesapeake Channel Lighted Buoy WR87","FD","38-55-58.127N","076-23-32.776W","Q G","Night","","5","","Green.","",""
"5","39.0008555555556","76.3813111111111","0.120563142380482","0.291612721663872","0.120563142380482","5","7960","","Chesapeake Channel Lighted Buoy 93","FD","39-00-03.080N","076-22-52.720W","Fl G 4s","Night","","5","","Green.","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.75209","76.4442583333333","0.230682509145748","0.120782240219508","0.120782240219508","5","7730","","Chesapeake Channel Lighted Buoy 83","FD","38-45-07.524N","076-26-39.330W","Fl G 4s","Night","","5","","Green.","Replaced by can when endangered by ice.",""
"5","39.0000172222222","76.3778438888889","0.123793934698211","0.293138285511307","0.123793934698211","5","7965","","Chesapeake Channel Lighted Buoy 94","FD","39-00-00.062N","076-22-40.238W","Fl R 4s","Night","","5","","Red.","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.93553","76.3821783333333","0.123958455294961","0.243338195616263","0.123958455294961","5","7800","","Chesapeake Channel Lighted Buoy 88","FD","38-56-07.908N","076-22-55.842W","Fl R 2.5s","Night","","5","","Red.","",""
"5","39.0074725","76.3788466666667","0.124476599274841","0.298329788573588","0.124476599274841","5","7970","","Chesapeake Channel Lighted Buoy 95","FD","39-00-26.901N","076-22-43.848W","Fl G 2.5s","Night","","5","","Green.","Replaced by LIB of reduced intensity when endangered by ice.",""
"5","38.7576177777778","76.4185633333333","0.232932429930863","0.145473049875771","0.145473049875771","5","7740","","Chesapeake Channel Lighted Buoy 84","FD","38-45-27.424N","076-25-06.828W","Fl R 4s","Night","","5","","Red.","",""
